Geneid,Chr,Strand,NExons,P.Value,FDR
gene-Msra,NC_000080.7,-,9,0.800480775767279,0.999995354919091
gene-Samd10,NC_000068.8,-,8,0.800521978229488,0.999995354919091
gene-Dph5,NC_000069.7,+,9,0.800597936240665,0.999995354919091
gene-Smarce1,NC_000077.7,-,11,0.80062156096834,0.999995354919091
gene-Pfdn5,NC_000081.7,+,6,0.800693832955821,0.999995354919091
gene-Slc38a9,NC_000079.7,+,25,0.800830346985947,0.999995354919091
gene-Dnal4,NC_000081.7,-,5,0.800834152872291,0.999995354919091
gene-Stk38l,NC_000072.7,+,19,0.801028529503534,0.999995354919091
gene-Eipr1,NC_000078.7,+,9,0.801052854688912,0.999995354919091
gene-Polr3c,NC_000069.7,-,18,0.8010787455313,0.999995354919091
gene-Nap1l1,NC_000076.7,+,20,0.801104811581126,0.999995354919091
gene-Pnkd,NC_000067.7,+,12,0.801222123305502,0.999995354919091
gene-Cdkn3,NC_000080.7,+,3,0.80137988900662,0.999995354919091
gene-Glb1l,NC_000067.7,-,25,0.801645860466628,0.999995354919091
gene-Banf1,NC_000085.7,-,3,0.801677648850594,0.999995354919091
gene-Uchl1,NC_000071.7,+,9,0.801782301827586,0.999995354919091
gene-Rbm42,NC_000073.7,-,10,0.801961964204558,0.999995354919091
gene-Gm19426,NC_000068.8,-,2,0.802117334594137,0.999995354919091
gene-Il10rb,NC_000082.7,+,5,0.802182569576941,0.999995354919091
gene-Smim17,NC_000073.7,+,3,0.802384533272491,0.999995354919091
gene-Mfsd13a,NC_000085.7,+,9,0.802398920995168,0.999995354919091
gene-4930447M23Rik,NC_000068.8,+,4,0.8025878678296,0.999995354919091
gene-Rpl35a,NC_000082.7,+,7,0.80263389404509,0.999995354919091
gene-Calcoco1,NC_000081.7,-,16,0.802683382877527,0.999995354919091
gene-Gm38553,NC_000075.7,+,2,0.802784763982253,0.999995354919091
gene-Tprn,NC_000068.8,+,4,0.803003879000656,0.999995354919091
gene-Cops8,NC_000067.7,+,10,0.803003946345159,0.999995354919091
gene-Lman2l,NC_000067.7,-,11,0.803069902348895,0.999995354919091
gene-Rps3,NC_000073.7,-,7,0.803245305319121,0.999995354919091
gene-Lipg,NC_000084.7,-,10,0.803456387112989,0.999995354919091
gene-Arc,NC_000081.7,-,2,0.803692687706765,0.999995354919091
gene-Katnal2,NC_000084.7,-,15,0.803807716366804,0.999995354919091
gene-Tbx2,NC_000077.7,+,6,0.803812370098183,0.999995354919091
gene-Npas1,NC_000073.7,-,13,0.803813177381627,0.999995354919091
gene-Bckdha,NC_000073.7,-,9,0.803860831866441,0.999995354919091
gene-Mfsd10,NC_000071.7,-,24,0.803993794887483,0.999995354919091
gene-Tmem196,NC_000078.7,+,4,0.804121146086381,0.999995354919091
gene-Ppcs,NC_000070.7,-,4,0.804261911704802,0.999995354919091
gene-Mpp1,NC_000086.8,-,12,0.804265752147764,0.999995354919091
gene-Ccdc65,NC_000081.7,+,3,0.804342122373565,0.999995354919091
gene-Dok4,NC_000074.7,-,11,0.804419799433634,0.999995354919091
gene-Sox9,NC_000077.7,+,3,0.804427459905457,0.999995354919091
gene-Slc1a5,NC_000073.7,+,10,0.804495924799539,0.999995354919091
gene-Nppc,NC_000067.7,-,2,0.804510296186271,0.999995354919091
gene-Timm17b,NC_000086.8,+,6,0.804557718361677,0.999995354919091
gene-Cyp20a1,NC_000067.7,+,14,0.804619628622449,0.999995354919091
gene-Zc3hc1,NC_000072.7,-,10,0.804730908579727,0.999995354919091
gene-Col4a5,NC_000086.8,+,28,0.804823457166632,0.999995354919091
gene-Utp4,NC_000074.7,+,18,0.804906199909152,0.999995354919091
gene-Zfp882,NC_000074.7,+,3,0.804937627059566,0.999995354919091
gene-Mrpl58,NC_000077.7,+,10,0.805108065782115,0.999995354919091
gene-Gipr,NC_000073.7,-,22,0.805111226472226,0.999995354919091
gene-Mir99a,NC_000082.7,+,5,0.80511797810543,0.999995354919091
gene-Gm16023,NC_000070.7,-,2,0.805159362463378,0.999995354919091
gene-Ppox,NC_000067.7,-,16,0.805222553837521,0.999995354919091
gene-Tmcc3,NC_000076.7,+,3,0.805284499073744,0.999995354919091
gene-Dtwd1,NC_000068.8,+,5,0.805406350765155,0.999995354919091
gene-Upf2,NC_000068.8,+,23,0.805470054196727,0.999995354919091
gene-Rer1,NC_000070.7,-,14,0.805476322803398,0.999995354919091
gene-Myd88,NC_000075.7,-,5,0.805519383358045,0.999995354919091
gene-Esam,NC_000075.7,+,7,0.805664701626734,0.999995354919091
gene-Sco1,NC_000077.7,+,6,0.805706494728526,0.999995354919091
gene-Gfer,NC_000083.7,-,8,0.80572715212345,0.999995354919091
gene-Washc3,NC_000076.7,+,10,0.806068464763247,0.999995354919091
gene-Birc2,NC_000075.7,-,13,0.806115961089551,0.999995354919091
gene-Otulin,NC_000081.7,-,8,0.80624327927727,0.999995354919091
gene-Ccdc126,NC_000072.7,+,3,0.806455574279223,0.999995354919091
gene-Sgcd,NC_000077.7,-,3,0.806633771712901,0.999995354919091
gene-Ptrh2,NC_000077.7,+,2,0.806869339862357,0.999995354919091
gene-Rpl8,NC_000081.7,+,6,0.806910135723191,0.999995354919091
gene-Lypd1,NC_000067.7,-,8,0.806916985824045,0.999995354919091
gene-Wtip,NC_000073.7,-,8,0.806949224168591,0.999995354919091
gene-Orai1,NC_000071.7,+,2,0.806964654977147,0.999995354919091
gene-P4ha3,NC_000073.7,+,15,0.807001974561553,0.999995354919091
gene-Spx,NC_000072.7,+,7,0.807052338368999,0.999995354919091
gene-Cd164,NC_000076.7,+,6,0.807058250909794,0.999995354919091
gene-Mettl18,NC_000067.7,+,2,0.80708071719269,0.999995354919091
gene-Spty2d1,NC_000073.7,-,6,0.807092454066046,0.999995354919091
gene-Fbxw17,NC_000079.7,+,24,0.807126756520984,0.999995354919091
gene-Ly6c1,NC_000081.7,-,4,0.807258816721869,0.999995354919091
gene-Gm16973,NC_000080.7,-,4,0.807302101797106,0.999995354919091
gene-Tbccd1,NC_000082.7,-,10,0.807406252271602,0.999995354919091
gene-Mbtps2,NC_000086.8,-,11,0.807479689895266,0.999995354919091
gene-Gm2a,NC_000077.7,+,4,0.807727339451661,0.999995354919091
gene-Gpkow,NC_000086.8,+,11,0.80804249899446,0.999995354919091
gene-Utp14a,NC_000086.8,+,15,0.808135119963479,0.999995354919091
gene-Kcnrg,NC_000080.7,+,2,0.808157258147099,0.999995354919091
gene-Fam131c,NC_000070.7,+,7,0.808663566031021,0.999995354919091
gene-Aurka,NC_000068.8,-,12,0.808673281771883,0.999995354919091
gene-Ppp2cb,NC_000074.7,+,7,0.808699477368705,0.999995354919091
gene-Fam124a,NC_000080.7,+,5,0.808733442934728,0.999995354919091
gene-Ccdc13,NC_000075.7,-,4,0.808741050870554,0.999995354919091
gene-Csgalnact1,NC_000074.7,-,8,0.808843599358768,0.999995354919091
gene-Gm57643,NC_000083.7,+,2,0.808875290884634,0.999995354919091
gene-Ufsp2,NC_000074.7,+,13,0.809105863333196,0.999995354919091
gene-Pcdhga12,NC_000084.7,+,4,0.809116533916492,0.999995354919091
gene-Mrps10,NC_000083.7,+,13,0.809161544425798,0.999995354919091
gene-Xntrpc,NC_000073.7,+,24,0.809375799170781,0.999995354919091
gene-Edem2,NC_000068.8,-,13,0.809383062098574,0.999995354919091
gene-Zfp366,NC_000079.7,+,2,0.809573602476905,0.999995354919091
gene-Lrrc14,NC_000081.7,+,12,0.809764961615176,0.999995354919091
gene-Stx1a,NC_000071.7,+,13,0.809816570586742,0.999995354919091
gene-Gm44504,NC_000086.8,-,5,0.80982445902764,0.999995354919091
gene-Zfp775,NC_000072.7,+,3,0.809840974697487,0.999995354919091
gene-2700097O09Rik,NC_000078.7,-,10,0.809946765616363,0.999995354919091
gene-P2rx7,NC_000071.7,+,2,0.810032100629174,0.999995354919091
gene-Lrrc42,NC_000070.7,-,9,0.810061625172453,0.999995354919091
gene-Kcnu1,NC_000074.7,+,9,0.810100863013952,0.999995354919091
gene-Mmab,NC_000071.7,-,9,0.81029302891283,0.999995354919091
gene-Pmm2,NC_000082.7,+,10,0.810438865508697,0.999995354919091
gene-Apip,NC_000068.8,+,8,0.810603794869304,0.999995354919091
gene-Bex4,NC_000086.8,+,5,0.81062781100118,0.999995354919091
gene-Htr4,NC_000084.7,+,2,0.810687041372342,0.999995354919091
gene-Mrpl44,NC_000067.7,+,4,0.811182033804221,0.999995354919091
gene-Lama5,NC_000068.8,-,34,0.811225767602625,0.999995354919091
gene-Clec11a,NC_000073.7,-,2,0.811295515531223,0.999995354919091
gene-Mrps26,NC_000068.8,+,4,0.811636391631179,0.999995354919091
gene-Trap1,NC_000082.7,-,21,0.811761344625868,0.999995354919091
gene-Zbtb7b,NC_000069.7,-,2,0.811938276901191,0.999995354919091
gene-Atg14,NC_000080.7,-,10,0.812040900921173,0.999995354919091
gene-Pigbos1,NC_000075.7,+,2,0.812207951589736,0.999995354919091
gene-Tceanc,NC_000086.8,-,2,0.81236177297423,0.999995354919091
gene-Grwd1,NC_000073.7,-,7,0.812806434999312,0.999995354919091
gene-Acss2,NC_000068.8,+,18,0.812844081142978,0.999995354919091
gene-Cacng8,NC_000073.7,+,4,0.81312736788076,0.999995354919091
gene-Ndufa10,NC_000067.7,-,12,0.813377995704751,0.999995354919091
gene-Cd55,NC_000067.7,-,2,0.813382836013638,0.999995354919091
gene-Snhg16,NC_000077.7,+,7,0.813392588840193,0.999995354919091
gene-Frmd6,NC_000078.7,+,14,0.813475242195082,0.999995354919091
gene-Bbip1,NC_000085.7,-,12,0.813572339324698,0.999995354919091
gene-Ckap2l,NC_000068.8,-,11,0.81357454594419,0.999995354919091
gene-Gga1,NC_000081.7,+,17,0.81358298703341,0.999995354919091
gene-Cox20,NC_000067.7,+,6,0.813639167144562,0.999995354919091
gene-Gm32391,NC_000067.7,+,4,0.813666355731396,0.999995354919091
gene-Sugt1,NC_000080.7,+,13,0.813745629635802,0.999995354919091
gene-Zfp639,NC_000069.7,+,11,0.813760657244436,0.999995354919091
gene-Dsp,NC_000079.7,+,2,0.813785592279382,0.999995354919091
gene-Arhgap6,NC_000086.8,+,2,0.813968142848282,0.999995354919091
gene-Nemp1,NC_000076.7,+,9,0.813985769482599,0.999995354919091
gene-Gm1043,NC_000071.7,+,15,0.814023458578858,0.999995354919091
gene-Sms,NC_000086.8,-,11,0.814074215752598,0.999995354919091
gene-Lipo3,NC_000085.7,-,9,0.81435164221391,0.999995354919091
gene-Rpl4,NC_000075.7,+,11,0.814399627166789,0.999995354919091
gene-Dus3l,NC_000083.7,+,15,0.814473374992817,0.999995354919091
gene-Tbc1d1,NC_000071.7,+,21,0.814505454584862,0.999995354919091
gene-Syt5,NC_000073.7,-,10,0.814524398088424,0.999995354919091
gene-Dnajc18,NC_000084.7,-,8,0.814599429574863,0.999995354919091
gene-Slx9,NC_000076.7,-,7,0.814803799196309,0.999995354919091
gene-Nxn,NC_000077.7,-,8,0.814925165663704,0.999995354919091
gene-Tek,NC_000070.7,+,22,0.814962259089294,0.999995354919091
gene-Ncbp3,NC_000077.7,+,13,0.814974425989569,0.999995354919091
gene-Them6,NC_000081.7,+,2,0.815107056020066,0.999995354919091
gene-Mrps25,NC_000072.7,-,4,0.815177028529795,0.999995354919091
gene-Zfpl1,NC_000085.7,-,9,0.815194335929251,0.999995354919091
gene-Lmf1,NC_000083.7,+,12,0.815221854245989,0.999995354919091
gene-Scand1,NC_000068.8,-,2,0.815296524973143,0.999995354919091
gene-Midn,NC_000076.7,+,13,0.815455957186825,0.999995354919091
gene-Tyw5,NC_000067.7,-,14,0.815484332780201,0.999995354919091
gene-Car14,NC_000069.7,-,3,0.815537562701055,0.999995354919091
gene-Gm12426,NC_000070.7,-,7,0.815552609582282,0.999995354919091
gene-1600020E01Rik,NC_000072.7,+,7,0.815560130467565,0.999995354919091
gene-Rnf166,NC_000074.7,-,6,0.815568683066572,0.999995354919091
gene-Prelid3b,NC_000068.8,-,6,0.815636687811734,0.999995354919091
gene-Apex1,NC_000080.7,+,5,0.815673134040035,0.999995354919091
gene-Gm17484,NC_000074.7,+,2,0.815675600363438,0.999995354919091
gene-Cc2d1b,NC_000070.7,+,31,0.815851269883854,0.999995354919091
gene-Ube2c,NC_000068.8,+,6,0.815900761256949,0.999995354919091
gene-Ano1,NC_000073.7,-,10,0.81603073801304,0.999995354919091
gene-Sla,NC_000081.7,-,12,0.816203229026184,0.999995354919091
gene-Rcor1,NC_000078.7,+,12,0.816357000784487,0.999995354919091
gene-Ppp1r12c,NC_000073.7,-,24,0.816475073981328,0.999995354919091
gene-Pdxp,NC_000081.7,+,3,0.816542206451231,0.999995354919091
gene-Dusp14,NC_000077.7,-,3,0.816581341455349,0.999995354919091
gene-Nsun4,NC_000070.7,-,7,0.816734341108542,0.999995354919091
gene-Zfp660,NC_000075.7,+,2,0.81675550024617,0.999995354919091
gene-Mthfd2l,NC_000071.7,+,9,0.816763613030078,0.999995354919091
gene-Eif1a,NC_000084.7,+,5,0.816856146458566,0.999995354919091
gene-Mir1668,NC_000074.7,-,2,0.816949429913782,0.999995354919091
gene-Tmem150a,NC_000072.7,+,8,0.816978380632222,0.999995354919091
gene-Vegfb,NC_000085.7,-,8,0.817078790969079,0.999995354919091
gene-Mrpl9,NC_000069.7,+,7,0.817088432402029,0.999995354919091
gene-Vstm5,NC_000075.7,+,7,0.817115697613466,0.999995354919091
gene-Aqp11,NC_000073.7,-,3,0.817168561022273,0.999995354919091
gene-Ccdc148,NC_000068.8,-,16,0.817345108162803,0.999995354919091
gene-Rhoq,NC_000083.7,+,5,0.817404834953142,0.999995354919091
gene-Cd302,NC_000068.8,-,3,0.817774889215016,0.999995354919091
gene-Pla2g12a,NC_000069.7,+,6,0.817973307456479,0.999995354919091
gene-Coil,NC_000077.7,+,7,0.818033812125478,0.999995354919091
gene-Snhg5,NC_000075.7,-,5,0.818063560116315,0.999995354919091
gene-Cgnl1,NC_000075.7,-,12,0.818143131265661,0.999995354919091
gene-Nat9,NC_000077.7,-,8,0.818153668728556,0.999995354919091
gene-Tpst2,NC_000071.7,+,9,0.818390667185546,0.999995354919091
gene-Bloc1s1,NC_000076.7,-,4,0.818445562116367,0.999995354919091
gene-Gfus,NC_000081.7,-,14,0.818455510129456,0.999995354919091
gene-Mir343,NC_000073.7,+,3,0.818504501580095,0.999995354919091
gene-Mgst1,NC_000072.7,+,4,0.818578862873805,0.999995354919091
gene-Zfp109,NC_000073.7,-,4,0.818745182572113,0.999995354919091
gene-Tm6sf2,NC_000074.7,+,3,0.81880044856298,0.999995354919091
gene-Nosip,NC_000073.7,+,12,0.818940195934845,0.999995354919091
gene-Mir124a-1hg,NC_000080.7,+,3,0.818970910758969,0.999995354919091
gene-Gm5784,NC_000078.7,+,8,0.819007396898838,0.999995354919091
gene-Ikbip,NC_000076.7,+,6,0.819052429615273,0.999995354919091
gene-Akap8l,NC_000083.7,-,29,0.819110833642943,0.999995354919091
gene-Ramp1,NC_000067.7,+,4,0.819118695505486,0.999995354919091
gene-Naa40,NC_000085.7,-,8,0.819170429809506,0.999995354919091
gene-Aamdc,NC_000073.7,-,5,0.819307749254511,0.999995354919091
gene-Asdurf,NC_000067.7,-,4,0.819331477476671,0.999995354919091
gene-Phykpl,NC_000077.7,+,4,0.819422439754166,0.999995354919091
gene-Gm3002,NC_000080.7,-,2,0.819557267267314,0.999995354919091
gene-Gm46775,NC_000068.8,-,2,0.81956669113723,0.999995354919091
gene-Smim18,NC_000074.7,-,2,0.819595537468812,0.999995354919091
gene-Ckmt1,NC_000068.8,+,10,0.81964302557626,0.999995354919091
gene-Pcbd2,NC_000079.7,+,4,0.81964630487417,0.999995354919091
gene-Gng3,NC_000085.7,-,3,0.819657063647117,0.999995354919091
gene-Gzf1,NC_000068.8,+,8,0.819716631493091,0.999995354919091
gene-Uqcc3,NC_000085.7,-,2,0.820063057850022,0.999995354919091
gene-Rad23a,NC_000074.7,-,16,0.820077453536561,0.999995354919091
gene-Stard7,NC_000068.8,+,11,0.820109994341766,0.999995354919091
gene-Arpc1a,NC_000071.7,+,10,0.820129770175883,0.999995354919091
gene-Utp11,NC_000070.7,-,11,0.820184162527921,0.999995354919091
gene-Gm46058,NC_000074.7,-,2,0.820191184332541,0.999995354919091
gene-Pnpla8,NC_000078.7,+,11,0.820295359009643,0.999995354919091
gene-Ndufb3,NC_000067.7,+,3,0.820298618300426,0.999995354919091
gene-Rhoa,NC_000075.7,+,6,0.820305632447649,0.999995354919091
gene-Sem1,NC_000072.7,-,3,0.820345402820708,0.999995354919091
gene-Srr,NC_000077.7,-,12,0.820414783372464,0.999995354919091
gene-Mks1,NC_000077.7,+,19,0.820462588248551,0.999995354919091
gene-Ddx31,NC_000068.8,+,25,0.820516624776972,0.999995354919091
gene-Bphl,NC_000079.7,+,7,0.820529592467262,0.999995354919091
gene-Prr5,NC_000081.7,+,10,0.820574903372497,0.999995354919091
gene-Gm51701,NC_000075.7,+,2,0.820695999918874,0.999995354919091
gene-Enho,NC_000070.7,-,2,0.820845642476752,0.999995354919091
gene-Igfbp4,NC_000077.7,+,6,0.820872206724537,0.999995354919091
gene-Gm20472,NC_000078.7,-,3,0.821011013011269,0.999995354919091
gene-Higd2a,NC_000079.7,+,2,0.821155942846553,0.999995354919091
gene-Manbal,NC_000068.8,+,4,0.82119366336757,0.999995354919091
gene-Ino80,NC_000068.8,-,36,0.821345524904345,0.999995354919091
gene-Enkd1,NC_000074.7,-,8,0.821361676911337,0.999995354919091
gene-Nbdy,NC_000086.8,+,4,0.821393794939484,0.999995354919091
gene-Fam174c,NC_000076.7,+,3,0.821399734928939,0.999995354919091
gene-Taf7,NC_000084.7,-,2,0.821452241871937,0.999995354919091
gene-Lrpap1,NC_000071.7,-,8,0.821520681519269,0.999995354919091
gene-Atg10,NC_000079.7,-,9,0.821534279830428,0.999995354919091
gene-Dynlt2b,NC_000082.7,+,5,0.821555912781051,0.999995354919091
gene-Kcnq5,NC_000067.7,-,15,0.82165431300447,0.999995354919091
gene-Limd1,NC_000075.7,+,8,0.821654443677249,0.999995354919091
gene-Atxn2l,NC_000073.7,-,35,0.821655566516073,0.999995354919091
gene-Fxn,NC_000085.7,-,5,0.821666526960509,0.999995354919091
gene-Gm32404,NC_000072.7,+,3,0.821720878439227,0.999995354919091
gene-Zfp804a,NC_000068.8,+,6,0.821770582314875,0.999995354919091
gene-Xrcc3,NC_000078.7,-,4,0.821903883956334,0.999995354919091
gene-Tmem11,NC_000077.7,-,2,0.822110463170785,0.999995354919091
gene-Rnh1,NC_000073.7,-,12,0.822177988399408,0.999995354919091
gene-Pusl1,NC_000070.7,-,13,0.822253303695762,0.999995354919091
gene-2900060N12Rik,NC_000078.7,-,3,0.822287217126675,0.999995354919091
gene-Bud13,NC_000075.7,+,11,0.822329496096925,0.999995354919091
gene-Elovl6,NC_000069.7,+,5,0.82238691237243,0.999995354919091
gene-Ergic2,NC_000072.7,-,20,0.822475960380699,0.999995354919091
gene-Mir374b,NC_000086.8,-,5,0.822551691033813,0.999995354919091
gene-Ttf2,NC_000069.7,-,18,0.822648512112947,0.999995354919091
gene-Klhl14,NC_000084.7,-,2,0.822750706044059,0.999995354919091
gene-Pcbd1,NC_000076.7,+,4,0.822824842017751,0.999995354919091
gene-Ndufa13,NC_000074.7,-,8,0.822979014877681,0.999995354919091
gene-Ppp1r1b,NC_000077.7,+,7,0.823082090810642,0.999995354919091
gene-Fgd2,NC_000083.7,+,9,0.823113739240898,0.999995354919091
gene-Fgf9,NC_000080.7,+,3,0.823168771321181,0.999995354919091
gene-Trmt1,NC_000074.7,+,26,0.823189751932307,0.999995354919091
gene-Ube2n,NC_000076.7,+,5,0.823313870222665,0.999995354919091
gene-Grpel1,NC_000071.7,+,4,0.823462117573012,0.999995354919091
gene-Nrsn1,NC_000079.7,-,5,0.823493913695623,0.999995354919091
gene-Parn,NC_000082.7,-,24,0.823548887328393,0.999995354919091
gene-Leng1,NC_000073.7,-,4,0.82369217857766,0.999995354919091
gene-Srp9,NC_000067.7,+,3,0.823732282573558,0.999995354919091
gene-Ift22,NC_000071.7,+,7,0.823792025227771,0.999995354919091
gene-Palmd,NC_000069.7,-,9,0.823892106265029,0.999995354919091
gene-Kif2c,NC_000070.7,-,20,0.824097532027127,0.999995354919091
gene-Rab40b,NC_000077.7,-,6,0.824186952190161,0.999995354919091
gene-Pwwp3a,NC_000076.7,+,16,0.824217567383578,0.999995354919091
gene-AI506816,NC_000071.7,-,2,0.824298673903138,0.999995354919091
gene-Pex11b,NC_000069.7,+,8,0.824415633296079,0.999995354919091
gene-Vcf2,NC_000086.8,-,8,0.824518520524524,0.999995354919091
gene-Scarb1,NC_000071.7,-,19,0.824572235763617,0.999995354919091
gene-S100a16,NC_000069.7,+,3,0.824618093809275,0.999995354919091
gene-Ankfn1,NC_000077.7,-,2,0.824875530772664,0.999995354919091
gene-Tpd52,NC_000069.7,-,13,0.824965263595646,0.999995354919091
gene-Gm34425,NC_000075.7,+,3,0.824982427101921,0.999995354919091
gene-Bcan,NC_000069.7,-,19,0.824989786237623,0.999995354919091
gene-Gm57834,NC_000068.8,+,2,0.825198272033971,0.999995354919091
gene-Mir3057,NC_000076.7,+,2,0.825302261212495,0.999995354919091
gene-Cyren,NC_000072.7,-,8,0.825456667900373,0.999995354919091
gene-Tafa1,NC_000072.7,+,7,0.825656453163887,0.999995354919091
gene-Plekhb1,NC_000073.7,-,5,0.825697764637907,0.999995354919091
gene-Brsk1,NC_000073.7,+,24,0.82576910518245,0.999995354919091
gene-Foxf2,NC_000079.7,+,2,0.825817934498883,0.999995354919091
gene-Nectin2,NC_000073.7,-,10,0.825896323141592,0.999995354919091
gene-Fbxo27,NC_000073.7,+,7,0.825925734308849,0.999995354919091
gene-Mrm3,NC_000077.7,+,5,0.826014129915167,0.999995354919091
gene-Calr,NC_000074.7,-,9,0.826045946538824,0.999995354919091
gene-Gtf2h4,NC_000083.7,-,17,0.826112159515339,0.999995354919091
gene-Paip1,NC_000079.7,+,12,0.82614218982497,0.999995354919091
gene-Gm31356,NC_000085.7,+,2,0.826303059874663,0.999995354919091
gene-Zfp658,NC_000073.7,+,5,0.826532071733452,0.999995354919091
gene-Coq7,NC_000073.7,-,6,0.826533708479074,0.999995354919091
gene-Gm51898,NC_000077.7,-,2,0.826544461172353,0.999995354919091
gene-Micos13,NC_000083.7,-,4,0.826670586297443,0.999995354919091
gene-C130074G19Rik,NC_000067.7,-,2,0.826753675476384,0.999995354919091
gene-Psma3,NC_000078.7,+,14,0.826848316237426,0.999995354919091
gene-Azin2,NC_000070.7,-,11,0.82698583819537,0.999995354919091
gene-Gm46735,NC_000068.8,+,2,0.827081608726077,0.999995354919091
gene-Armcx6,NC_000086.8,-,8,0.827083232051014,0.999995354919091
gene-Dhrs7b,NC_000077.7,+,9,0.827393827721453,0.999995354919091
gene-Fbxo28,NC_000067.7,-,5,0.827397492003426,0.999995354919091
gene-Arpin,NC_000073.7,-,6,0.827402314596987,0.999995354919091
gene-S1pr1,NC_000069.7,-,2,0.827684140707297,0.999995354919091
gene-Mndal,NC_000067.7,-,8,0.827717167142925,0.999995354919091
gene-Dlx2,NC_000068.8,-,3,0.827816813686861,0.999995354919091
gene-Gm53259,NC_000082.7,+,2,0.827887555608629,0.999995354919091
gene-Lurap1l,NC_000070.7,+,2,0.828003703768365,0.999995354919091
gene-Maip1,NC_000067.7,+,5,0.828138158934658,0.999995354919091
gene-Gja4,NC_000070.7,-,2,0.828198867644469,0.999995354919091
gene-Foxo6,NC_000070.7,-,2,0.828212083442742,0.999995354919091
gene-Gm2897,NC_000080.7,-,7,0.828266812668092,0.999995354919091
gene-Gm39342,NC_000075.7,-,2,0.828357189050001,0.999995354919091
gene-Cfap68,NC_000075.7,-,10,0.82836164444548,0.999995354919091
gene-Thumpd2,NC_000083.7,-,15,0.828364163315822,0.999995354919091
gene-Rps28,NC_000083.7,-,5,0.8284603549804,0.999995354919091
gene-C030006K11Rik,NC_000081.7,-,4,0.82851213687734,0.999995354919091
gene-Gm52202,NC_000081.7,-,2,0.828552250778179,0.999995354919091
gene-Kank4,NC_000070.7,-,2,0.829033081231038,0.999995354919091
gene-Gm33746,NC_000074.7,+,2,0.829067356429672,0.999995354919091
gene-Nudt22,NC_000085.7,-,7,0.829088759886271,0.999995354919091
gene-Gm30189,NC_000068.8,-,5,0.829145252842342,0.999995354919091
gene-Cox18,NC_000071.7,-,8,0.829164512568383,0.999995354919091
gene-Zfr2,NC_000076.7,+,20,0.82918115791229,0.999995354919091
gene-Arl4a,NC_000078.7,-,3,0.829186135604858,0.999995354919091
gene-Rplp1,NC_000075.7,-,3,0.829220378586531,0.999995354919091
gene-Cyp2j9,NC_000070.7,-,3,0.829222375426653,0.999995354919091
gene-Eya2,NC_000068.8,+,4,0.829227974355163,0.999995354919091
gene-Gm12371,NC_000070.7,+,2,0.829243063552457,0.999995354919091
gene-Rps6,NC_000070.7,-,5,0.829277346303493,0.999995354919091
gene-Tmem91,NC_000073.7,-,7,0.829449294820107,0.999995354919091
gene-Stat3,NC_000077.7,-,26,0.829455690739244,0.999995354919091
gene-Fxyd5,NC_000073.7,-,10,0.829473871490143,0.999995354919091
gene-Zfp97,NC_000083.7,+,2,0.829474290888475,0.999995354919091
gene-Ppp2r2b,NC_000084.7,-,12,0.829480726401518,0.999995354919091
gene-Ech1,NC_000073.7,+,10,0.829496971965204,0.999995354919091
gene-Fbxo17,NC_000073.7,+,5,0.829652398318591,0.999995354919091
gene-Nol12,NC_000081.7,+,11,0.829737548809157,0.999995354919091
gene-E2f5,NC_000069.7,+,9,0.829816139002059,0.999995354919091
gene-Fam220a,NC_000071.7,+,3,0.829830605721277,0.999995354919091
gene-Paxx,NC_000068.8,-,14,0.829837246075998,0.999995354919091
gene-Gm3173,NC_000080.7,-,3,0.829867447434294,0.999995354919091
gene-Polr3a,NC_000080.7,-,31,0.82998109107165,0.999995354919091
gene-Ephx1,NC_000067.7,-,8,0.829995091231276,0.999995354919091
gene-Cdc26,NC_000070.7,-,4,0.830151585439481,0.999995354919091
gene-Zfp575,NC_000073.7,-,5,0.83027919256086,0.999995354919091
gene-Zfp960,NC_000083.7,+,2,0.830309790164102,0.999995354919091
gene-Eif4ebp3,NC_000084.7,+,3,0.830352174241073,0.999995354919091
gene-Acvrl1,NC_000081.7,+,8,0.830367243072019,0.999995354919091
gene-Pex5l,NC_000069.7,-,14,0.830380016757214,0.999995354919091
gene-Hmgb2,NC_000074.7,+,6,0.830442880389895,0.999995354919091
gene-Slc66a1,NC_000070.7,-,15,0.830534966623422,0.999995354919091
gene-Upp2,NC_000068.8,+,5,0.830650344128615,0.999995354919091
gene-4933427D14Rik,NC_000077.7,-,22,0.830657037365483,0.999995354919091
gene-BB218582,NC_000068.8,-,3,0.831026274986924,0.999995354919091
gene-Igf2bp2,NC_000082.7,-,16,0.831130289543595,0.999995354919091
gene-Sirt4,NC_000071.7,-,10,0.831212773568506,0.999995354919091
gene-Niban2,NC_000068.8,+,14,0.831263238827985,0.999995354919091
gene-Tmed9,NC_000079.7,+,5,0.831380382478257,0.999995354919091
gene-Phgdh,NC_000069.7,-,12,0.831399590445819,0.999995354919091
gene-Lysmd1,NC_000069.7,+,2,0.831438288306825,0.999995354919091
gene-Sin3a,NC_000075.7,+,23,0.831553091644068,0.999995354919091
gene-Ppan,NC_000075.7,+,11,0.831853242077354,0.999995354919091
gene-2310022B05Rik,NC_000074.7,-,4,0.831937601154084,0.999995354919091
gene-Scn9a,NC_000068.8,-,19,0.831960588501213,0.999995354919091
gene-Palld,NC_000074.7,-,16,0.832238021550947,0.999995354919091
gene-Clip4,NC_000083.7,+,18,0.832268956613325,0.999995354919091
